timestamp building_id meter_reading anomaly
"2016-01-18 09:00:00" 685.0 714.2 1.0
"2016-01-18 10:00:00" 685.0 844.0 1.0
"2016-01-18 11:00:00" 685.0 879.3 1.0
"2016-01-18 12:00:00" 685.0 909.8 1.0
"2016-01-18 13:00:00" 685.0 897.8 1.0
"2016-01-18 14:00:00" 685.0 861.8 1.0
"2016-01-18 15:00:00" 685.0 809.2 1.0
"2016-01-18 16:00:00" 685.0 760.2 1.0
"2016-01-18 17:00:00" 685.0 683.5 1.0
   
"2016-01-22 23:00:00" 685.0 319.5 1.0
"2016-01-23 00:00:00" 685.0 155.216 1.0
"2016-01-23 01:00:00" 685.0 5.633 1.0
"2016-01-23 02:00:00" 685.0 1.0 1.0
"2016-01-23 03:00:00" 685.0 1.0 1.0
"2016-01-23 04:00:00" 685.0 1.0 1.0
"2016-01-23 05:00:00" 685.0 1.0 1.0
"2016-01-23 06:00:00" 685.0 1.0 1.0
"2016-01-23 07:00:00" 685.0 1.0 1.0
"2016-01-23 08:00:00" 685.0 1.0 1.0
"2016-01-23 09:00:00" 685.0 1.0 1.0
"2016-01-23 10:00:00" 685.0 1.0 1.0
"2016-01-23 11:00:00" 685.0 1.0 1.0
"2016-01-23 12:00:00" 685.0 1.0 1.0
"2016-01-23 13:00:00" 685.0 1.0 1.0
"2016-01-23 14:00:00" 685.0 1.0 1.0
"2016-01-23 15:00:00" 685.0 1.0 1.0
"2016-01-23 16:00:00" 685.0 1.0 1.0
"2016-01-23 17:00:00" 685.0 1.0 1.0
"2016-01-23 18:00:00" 685.0 1.0 1.0
"2016-01-23 19:00:00" 685.0 1.0 1.0
"2016-01-23 20:00:00" 685.0 1.0 1.0
"2016-01-23 21:00:00" 685.0 1.0 1.0
"2016-01-23 22:00:00" 685.0 1.0 1.0
"2016-01-23 23:00:00" 685.0 1.0 1.0
"2016-01-24 00:00:00" 685.0 136.616 1.0
"2016-01-24 01:00:00" 685.0 138.416 1.0
"2016-01-24 02:00:00" 685.0 272.4 1.0
   
"2016-02-12 23:00:00" 685.0 275.7 1.0
"2016-02-13 00:00:00" 685.0 133.026 1.0
"2016-02-13 01:00:00" 685.0 5.453 1.0
"2016-02-13 02:00:00" 685.0 1.0 1.0
"2016-02-13 03:00:00" 685.0 1.0 1.0
"2016-02-13 04:00:00" 685.0 1.0 1.0
"2016-02-13 05:00:00" 685.0 1.0 1.0
"2016-02-13 06:00:00" 685.0 1.0 1.0
"2016-02-13 07:00:00" 685.0 1.0 1.0
"2016-02-13 08:00:00" 685.0 1.0 1.0
"2016-02-13 09:00:00" 685.0 1.0 1.0
"2016-02-13 10:00:00" 685.0 1.0 1.0
"2016-02-13 11:00:00" 685.0 1.0 1.0
"2016-02-13 12:00:00" 685.0 1.0 1.0
"2016-02-13 13:00:00" 685.0 1.0 1.0
"2016-02-13 14:00:00" 685.0 1.0 1.0
"2016-02-13 15:00:00" 685.0 1.0 1.0
"2016-02-13 16:00:00" 685.0 1.0 1.0
"2016-02-13 17:00:00" 685.0 1.0 1.0
"2016-02-13 18:00:00" 685.0 1.0 1.0
"2016-02-13 19:00:00" 685.0 1.0 1.0
"2016-02-13 20:00:00" 685.0 1.0 1.0
"2016-02-13 21:00:00" 685.0 1.0 1.0
"2016-02-13 22:00:00" 685.0 1.0 1.0
"2016-02-13 23:00:00" 685.0 1.0 1.0
"2016-02-14 00:00:00" 685.0 136.927 1.0
"2016-02-14 01:00:00" 685.0 132.726 1.0
"2016-02-14 02:00:00" 685.0 268.2 1.0
   
"2016-03-25 03:00:00" 685.0 257.1 1.0
"2016-03-25 04:00:00" 685.0 263.6 1.0
"2016-03-25 05:00:00" 685.0 264.5 1.0
"2016-03-25 06:00:00" 685.0 280.0 1.0
"2016-03-25 07:00:00" 685.0 282.3 1.0
"2016-03-25 08:00:00" 685.0 305.2 1.0
"2016-03-25 09:00:00" 685.0 302.6 1.0
"2016-03-25 10:00:00" 685.0 304.0 1.0
"2016-03-25 11:00:00" 685.0 303.4 1.0
"2016-03-25 12:00:00" 685.0 307.3 1.0
"2016-03-25 13:00:00" 685.0 306.8 1.0
"2016-03-25 14:00:00" 685.0 308.4 1.0
"2016-03-25 15:00:00" 685.0 304.8 1.0
"2016-03-25 16:00:00" 685.0 306.8 1.0
"2016-03-25 17:00:00" 685.0 310.9 1.0
"2016-03-25 18:00:00" 685.0 292.5 1.0
"2016-03-25 19:00:00" 685.0 290.0 1.0
"2016-03-25 20:00:00" 685.0 288.5 1.0
"2016-03-25 21:00:00" 685.0 288.3 1.0
"2016-03-25 22:00:00" 685.0 318.5 1.0
"2016-03-25 23:00:00" 685.0 282.7 1.0
"2016-03-26 00:00:00" 685.0 264.1 1.0
"2016-03-26 01:00:00" 685.0 253.7 1.0
   
"2016-03-28 03:00:00" 685.0 248.0 1.0
"2016-03-28 04:00:00" 685.0 252.5 1.0
"2016-03-28 05:00:00" 685.0 264.3 1.0
"2016-03-28 06:00:00" 685.0 283.7 1.0
"2016-03-28 07:00:00" 685.0 293.4 1.0
"2016-03-28 08:00:00" 685.0 296.2 1.0
"2016-03-28 09:00:00" 685.0 298.4 1.0
"2016-03-28 10:00:00" 685.0 313.1 1.0
"2016-03-28 11:00:00" 685.0 315.4 1.0
"2016-03-28 12:00:00" 685.0 340.8 1.0
"2016-03-28 13:00:00" 685.0 321.7 1.0
"2016-03-28 14:00:00" 685.0 313.7 1.0
"2016-03-28 15:00:00" 685.0 317.9 1.0
"2016-03-28 16:00:00" 685.0 325.7 1.0
"2016-03-28 17:00:00" 685.0 301.9 1.0
"2016-03-28 18:00:00" 685.0 294.3 1.0
"2016-03-28 19:00:00" 685.0 281.7 1.0
"2016-03-28 20:00:00" 685.0 281.0 1.0
"2016-03-28 21:00:00" 685.0 323.9 1.0
"2016-03-28 22:00:00" 685.0 279.5 1.0
"2016-03-28 23:00:00" 685.0 254.8 1.0
"2016-03-29 00:00:00" 685.0 253.6 1.0
   
"2016-04-08 22:00:00" 685.0 293.4 1.0
"2016-04-08 23:00:00" 685.0 267.4 1.0
"2016-04-09 00:00:00" 685.0 131.406 1.0
"2016-04-09 01:00:00" 685.0 5.412 1.0
"2016-04-09 02:00:00" 685.0 1.0 1.0
"2016-04-09 03:00:00" 685.0 1.0 1.0
"2016-04-09 04:00:00" 685.0 1.0 1.0
"2016-04-09 05:00:00" 685.0 1.0 1.0
"2016-04-09 06:00:00" 685.0 1.0 1.0
"2016-04-09 07:00:00" 685.0 1.0 1.0
"2016-04-09 08:00:00" 685.0 1.0 1.0
"2016-04-09 09:00:00" 685.0 1.0 1.0
"2016-04-09 10:00:00" 685.0 1.0 1.0
"2016-04-09 11:00:00" 685.0 1.0 1.0
"2016-04-09 12:00:00" 685.0 1.0 1.0
"2016-04-09 13:00:00" 685.0 1.0 1.0
"2016-04-09 14:00:00" 685.0 1.0 1.0
"2016-04-09 15:00:00" 685.0 1.0 1.0
"2016-04-09 16:00:00" 685.0 1.0 1.0
"2016-04-09 17:00:00" 685.0 1.0 1.0
"2016-04-09 18:00:00" 685.0 1.0 1.0
"2016-04-09 19:00:00" 685.0 1.0 1.0
"2016-04-09 20:00:00" 685.0 1.0 1.0
"2016-04-09 21:00:00" 685.0 1.0 1.0
"2016-04-09 22:00:00" 685.0 1.0 1.0
"2016-04-09 23:00:00" 685.0 1.0 1.0
"2016-04-10 00:00:00" 685.0 129.606 1.0
