timestamp,building_id,meter_reading,anomaly,date,gap_id
2016-01-01 00:00:00,685,127.1,0,2016-01-01,0
2016-01-01 01:00:00,685,255.3,0,2016-01-01,0
2016-01-01 02:00:00,685,250.7,0,2016-01-01,0
2016-01-01 03:00:00,685,247.0,0,2016-01-01,0
2016-01-01 04:00:00,685,249.1,0,2016-01-01,0
2016-01-01 05:00:00,685,258.5,0,2016-01-01,0
2016-01-01 06:00:00,685,271.1,0,2016-01-01,0
2016-01-01 07:00:00,685,285.5,0,2016-01-01,0
2016-01-01 08:00:00,685,297.4,0,2016-01-01,0
2016-01-01 09:00:00,685,286.7,0,2016-01-01,0
2016-01-01 10:00:00,685,283.5,0,2016-01-01,0
2016-01-01 11:00:00,685,284.3,0,2016-01-01,0
2016-01-01 12:00:00,685,285.3,0,2016-01-01,0
2016-01-01 13:00:00,685,286.6,0,2016-01-01,0
2016-01-01 14:00:00,685,289.2,0,2016-01-01,0
2016-01-01 15:00:00,685,295.4,0,2016-01-01,0
2016-01-01 16:00:00,685,299.9,0,2016-01-01,0
2016-01-01 17:00:00,685,298.7,0,2016-01-01,0
2016-01-01 18:00:00,685,275.2,0,2016-01-01,0
2016-01-01 19:00:00,685,271.1,0,2016-01-01,0
2016-01-01 20:00:00,685,276.7,0,2016-01-01,0
2016-01-01 21:00:00,685,280.7,0,2016-01-01,0
2016-01-01 22:00:00,685,294.7,0,2016-01-01,0
2016-01-01 23:00:00,685,248.0,0,2016-01-01,0
2016-01-02 00:00:00,685,257.7,0,2016-01-02,0
2016-01-02 01:00:00,685,243.2,0,2016-01-02,0
2016-01-02 02:00:00,685,238.3,0,2016-01-02,0
2016-01-02 03:00:00,685,237.1,0,2016-01-02,0
2016-01-02 04:00:00,685,243.1,0,2016-01-02,0
2016-01-02 05:00:00,685,241.5,0,2016-01-02,0
2016-01-02 06:00:00,685,242.5,0,2016-01-02,0
2016-01-02 07:00:00,685,246.1,0,2016-01-02,0
2016-01-02 08:00:00,685,249.3,0,2016-01-02,0
2016-01-02 09:00:00,685,270.0,0,2016-01-02,0
2016-01-02 10:00:00,685,279.0,0,2016-01-02,0
2016-01-02 11:00:00,685,289.7,0,2016-01-02,0
2016-01-02 12:00:00,685,295.9,0,2016-01-02,0
2016-01-02 13:00:00,685,293.7,0,2016-01-02,0
2016-01-02 14:00:00,685,289.5,0,2016-01-02,0
2016-01-02 15:00:00,685,290.3,0,2016-01-02,0
2016-01-02 16:00:00,685,278.1,0,2016-01-02,0
2016-01-02 17:00:00,685,282.9,0,2016-01-02,0
2016-01-02 18:00:00,685,280.8,0,2016-01-02,0
2016-01-02 19:00:00,685,283.5,0,2016-01-02,0
2016-01-02 20:00:00,685,275.8,0,2016-01-02,0
2016-01-02 21:00:00,685,275.1,0,2016-01-02,0
2016-01-02 22:00:00,685,269.3,0,2016-01-02,0
2016-01-02 23:00:00,685,262.9,0,2016-01-02,0
2016-01-03 00:00:00,685,257.6,0,2016-01-03,0
2016-01-03 01:00:00,685,264.6,0,2016-01-03,0
2016-01-03 02:00:00,685,258.3,0,2016-01-03,0
2016-01-03 03:00:00,685,257.2,0,2016-01-03,0
2016-01-03 04:00:00,685,256.1,0,2016-01-03,0
2016-01-03 05:00:00,685,252.5,0,2016-01-03,0
2016-01-03 06:00:00,685,254.2,0,2016-01-03,0
2016-01-03 07:00:00,685,256.0,0,2016-01-03,0
2016-01-03 08:00:00,685,255.6,0,2016-01-03,0
2016-01-03 09:00:00,685,256.1,0,2016-01-03,0
2016-01-03 10:00:00,685,256.0,0,2016-01-03,0
2016-01-03 11:00:00,685,258.0,0,2016-01-03,0
2016-01-03 12:00:00,685,261.3,0,2016-01-03,0
2016-01-03 13:00:00,685,263.7,0,2016-01-03,0
2016-01-03 14:00:00,685,263.4,0,2016-01-03,0
2016-01-03 15:00:00,685,264.8,0,2016-01-03,0
2016-01-03 16:00:00,685,265.1,0,2016-01-03,0
2016-01-03 17:00:00,685,277.0,0,2016-01-03,0
2016-01-03 18:00:00,685,274.7,0,2016-01-03,0
2016-01-03 19:00:00,685,276.5,0,2016-01-03,0
2016-01-03 20:00:00,685,264.2,0,2016-01-03,0
2016-01-03 21:00:00,685,257.9,0,2016-01-03,0
2016-01-03 22:00:00,685,261.4,0,2016-01-03,0
2016-01-03 23:00:00,685,261.9,0,2016-01-03,0
2016-01-04 00:00:00,685,258.3,0,2016-01-04,0
2016-01-04 01:00:00,685,245.5,0,2016-01-04,0
2016-01-04 02:00:00,685,244.2,0,2016-01-04,0
2016-01-04 03:00:00,685,245.3,0,2016-01-04,0
2016-01-04 04:00:00,685,245.7,0,2016-01-04,0
2016-01-04 05:00:00,685,246.8,0,2016-01-04,0
2016-01-04 06:00:00,685,296.0,0,2016-01-04,0
2016-01-04 07:00:00,685,352.7,0,2016-01-04,0
2016-01-04 08:00:00,685,478.1,0,2016-01-04,0
2016-01-04 09:00:00,685,596.8,0,2016-01-04,0
2016-01-04 10:00:00,685,651.8,0,2016-01-04,0
2016-01-04 11:00:00,685,660.0,0,2016-01-04,0
2016-01-04 12:00:00,685,660.4,0,2016-01-04,0
2016-01-04 13:00:00,685,652.7,0,2016-01-04,0
2016-01-04 14:00:00,685,636.0,0,2016-01-04,0
2016-01-04 15:00:00,685,644.7,0,2016-01-04,0
2016-01-04 16:00:00,685,613.9,0,2016-01-04,0
2016-01-04 17:00:00,685,589.4,0,2016-01-04,0
2016-01-04 18:00:00,685,485.9,0,2016-01-04,0
2016-01-04 19:00:00,685,407.5,0,2016-01-04,0
2016-01-04 20:00:00,685,362.5,0,2016-01-04,0
2016-01-04 21:00:00,685,321.6,0,2016-01-04,0
2016-01-04 22:00:00,685,330.0,0,2016-01-04,0
2016-01-04 23:00:00,685,283.4,0,2016-01-04,0
2016-01-05 00:00:00,685,266.2,0,2016-01-05,0
2016-01-05 01:00:00,685,266.1,0,2016-01-05,0
2016-01-05 02:00:00,685,263.1,0,2016-01-05,0
2016-01-05 03:00:00,685,276.4,0,2016-01-05,0
2016-01-05 04:00:00,685,271.8,0,2016-01-05,0
2016-01-05 05:00:00,685,285.9,0,2016-01-05,0
2016-01-05 06:00:00,685,321.8,0,2016-01-05,0
2016-01-05 07:00:00,685,379.7,0,2016-01-05,0
2016-01-05 08:00:00,685,483.8,0,2016-01-05,0
2016-01-05 09:00:00,685,596.8,0,2016-01-05,0
2016-01-05 10:00:00,685,647.5,0,2016-01-05,0
2016-01-05 11:00:00,685,654.5,0,2016-01-05,0
2016-01-05 12:00:00,685,627.6,0,2016-01-05,0
2016-01-05 13:00:00,685,632.6,0,2016-01-05,0
2016-01-05 14:00:00,685,615.4,0,2016-01-05,0
2016-01-05 15:00:00,685,597.0,0,2016-01-05,0
2016-01-05 16:00:00,685,591.8,0,2016-01-05,0
2016-01-05 17:00:00,685,572.8,0,2016-01-05,0
2016-01-05 18:00:00,685,460.3,0,2016-01-05,0
2016-01-05 19:00:00,685,405.8,0,2016-01-05,0
2016-01-05 20:00:00,685,355.7,0,2016-01-05,0
2016-01-05 21:00:00,685,306.1,0,2016-01-05,0
2016-01-05 22:00:00,685,325.5,0,2016-01-05,0
2016-01-05 23:00:00,685,280.8,0,2016-01-05,0
2016-01-06 00:00:00,685,260.6,0,2016-01-06,0
2016-01-06 01:00:00,685,260.7,0,2016-01-06,0
2016-01-06 02:00:00,685,257.7,0,2016-01-06,0
2016-01-06 03:00:00,685,258.4,0,2016-01-06,0
2016-01-06 04:00:00,685,260.6,0,2016-01-06,0
2016-01-06 05:00:00,685,265.3,0,2016-01-06,0
2016-01-06 06:00:00,685,312.8,0,2016-01-06,0
2016-01-06 07:00:00,685,371.2,0,2016-01-06,0
2016-01-06 08:00:00,685,482.8,0,2016-01-06,0
2016-01-06 09:00:00,685,603.9,0,2016-01-06,0
2016-01-06 10:00:00,685,643.5,0,2016-01-06,0
2016-01-06 11:00:00,685,644.6,0,2016-01-06,0
2016-01-06 12:00:00,685,636.0,0,2016-01-06,0
2016-01-06 13:00:00,685,631.9,0,2016-01-06,0
2016-01-06 14:00:00,685,626.1,0,2016-01-06,0
2016-01-06 15:00:00,685,597.3,0,2016-01-06,0
2016-01-06 16:00:00,685,580.1,0,2016-01-06,0
2016-01-06 17:00:00,685,550.4,0,2016-01-06,0
2016-01-06 18:00:00,685,464.1,0,2016-01-06,0
2016-01-06 19:00:00,685,401.6,0,2016-01-06,0
2016-01-06 20:00:00,685,346.3,0,2016-01-06,0
2016-01-06 21:00:00,685,312.2,0,2016-01-06,0
2016-01-06 22:00:00,685,314.1,0,2016-01-06,0
2016-01-06 23:00:00,685,270.6,0,2016-01-06,0
2016-01-07 00:00:00,685,259.1,0,2016-01-07,0
2016-01-07 01:00:00,685,255.1,0,2016-01-07,0
2016-01-07 02:00:00,685,251.3,0,2016-01-07,0
2016-01-07 03:00:00,685,258.5,0,2016-01-07,0
2016-01-07 04:00:00,685,257.4,0,2016-01-07,0
2016-01-07 05:00:00,685,260.4,0,2016-01-07,0
2016-01-07 06:00:00,685,309.8,0,2016-01-07,0
2016-01-07 07:00:00,685,365.6,0,2016-01-07,0
2016-01-07 08:00:00,685,471.3,0,2016-01-07,0
2016-01-07 09:00:00,685,585.1,0,2016-01-07,0
2016-01-07 10:00:00,685,642.0,0,2016-01-07,0
2016-01-07 11:00:00,685,668.0,0,2016-01-07,0
2016-01-07 12:00:00,685,663.7,0,2016-01-07,0
2016-01-07 13:00:00,685,666.0,0,2016-01-07,0
2016-01-07 14:00:00,685,654.2,0,2016-01-07,0
2016-01-07 15:00:00,685,634.8,0,2016-01-07,0
2016-01-07 16:00:00,685,615.0,0,2016-01-07,0
2016-01-07 17:00:00,685,594.0,0,2016-01-07,0
2016-01-07 18:00:00,685,502.7,0,2016-01-07,0
2016-01-07 19:00:00,685,437.0,0,2016-01-07,0
2016-01-07 20:00:00,685,367.2,0,2016-01-07,0
2016-01-07 21:00:00,685,321.7,0,2016-01-07,0
2016-01-07 22:00:00,685,326.9,0,2016-01-07,0
2016-01-07 23:00:00,685,279.7,0,2016-01-07,0
2016-01-08 00:00:00,685,260.7,0,2016-01-08,0
2016-01-08 01:00:00,685,258.8,0,2016-01-08,0
