timestamp,building_id,meter_reading,anomaly,imputed_reading
2016-01-01 00:00:00,118,117.2,0,117.2
2016-01-01 01:00:00,118,234.4,0,234.4
2016-01-01 02:00:00,118,234.8,0,234.8
2016-01-01 03:00:00,118,236.4,0,236.4
2016-01-01 04:00:00,118,239.8,0,239.8
2016-01-01 05:00:00,118,237.6,0,237.6
2016-01-01 06:00:00,118,247.2,0,247.2
2016-01-01 07:00:00,118,281.0,0,281.0
2016-01-01 08:00:00,118,300.4,0,300.4
2016-01-01 09:00:00,118,293.8,0,293.8
2016-01-01 10:00:00,118,295.6,0,295.6
2016-01-01 11:00:00,118,292.2,0,292.2
2016-01-01 12:00:00,118,293.6,0,293.6
2016-01-01 13:00:00,118,289.4,0,289.4
2016-01-01 14:00:00,118,287.0,0,287.0
2016-01-01 15:00:00,118,295.0,0,295.0
2016-01-01 16:00:00,118,293.8,0,293.8
2016-01-01 17:00:00,118,293.2,0,293.2
2016-01-01 18:00:00,118,277.4,0,277.4
2016-01-01 19:00:00,118,278.2,0,278.2
2016-01-01 20:00:00,118,239.4,0,239.4
2016-01-01 21:00:00,118,239.0,0,239.0
2016-01-01 22:00:00,118,232.8,0,232.8
2016-01-01 23:00:00,118,232.4,0,232.4
2016-01-02 00:00:00,118,256.4,0,256.4
2016-01-02 01:00:00,118,258.2,0,258.2
2016-01-02 02:00:00,118,257.2,0,257.2
2016-01-02 03:00:00,118,256.8,0,256.8
2016-01-02 04:00:00,118,255.4,0,255.4
2016-01-02 05:00:00,118,253.2,0,253.2
2016-01-02 06:00:00,118,256.0,0,256.0
2016-01-02 07:00:00,118,260.0,0,260.0
2016-01-02 08:00:00,118,262.8,0,262.8
2016-01-02 09:00:00,118,268.0,0,268.0
2016-01-02 10:00:00,118,269.4,0,269.4
2016-01-02 11:00:00,118,267.4,0,267.4
2016-01-02 12:00:00,118,265.8,0,265.8
2016-01-02 13:00:00,118,266.4,0,266.4
2016-01-02 14:00:00,118,265.8,0,265.8
2016-01-02 15:00:00,118,269.6,0,269.6
2016-01-02 16:00:00,118,272.6,0,272.6
2016-01-02 17:00:00,118,273.2,0,273.2
2016-01-02 18:00:00,118,272.2,0,272.2
2016-01-02 19:00:00,118,273.8,0,273.8
2016-01-02 20:00:00,118,266.8,0,266.8
