building_id,timestamp,meter_reading,anomaly
1  ,2016-01-01 00:00:00,           ,0
32 ,2016-01-01 00:00:00,           ,0
41 ,2016-01-01 00:00:00,           ,0
55 ,2016-01-01 00:00:00,           ,0
69 ,2016-01-01 00:00:00,           ,0
79 ,2016-01-01 00:00:00,           ,0
82 ,2016-01-01 00:00:00,           ,0
91 ,2016-01-01 00:00:00,           ,0
107,2016-01-01 00:00:00,175.184    ,1
108,2016-01-01 00:00:00,           ,0
111,2016-01-01 00:00:00,167.392    ,1
112,2016-01-01 00:00:00,10.275     ,0
117,2016-01-01 00:00:00,16.306     ,0
118,2016-01-01 00:00:00,117.2      ,0
119,2016-01-01 00:00:00,219.204    ,0
121,2016-01-01 00:00:00,229.0      ,0
136,2016-01-01 00:00:00,           ,0
137,2016-01-01 00:00:00,14.25      ,0
139,2016-01-01 00:00:00,12.607     ,0
141,2016-01-01 00:00:00,20.648     ,1
144,2016-01-01 00:00:00,28.064     ,0
147,2016-01-01 00:00:00,72.061     ,0
148,2016-01-01 00:00:00,           ,0
149,2016-01-01 00:00:00,53.102     ,0
159,2016-01-01 00:00:00,11.82      ,0
171,2016-01-01 00:00:00,33.11      ,0
173,2016-01-01 00:00:00,171.04     ,0
174,2016-01-01 00:00:00,179.9      ,0
181,2016-01-01 00:00:00,227.38     ,0
183,2016-01-01 00:00:00,146.99,0
190,2016-01-01 00:00:00,118.48,0
235,2016-01-01 00:00:00,11.77,0
238,2016-01-01 00:00:00,109.93,0
240,2016-01-01 00:00:00,86.28,0
246,2016-01-01 00:00:00,302.5,0
247,2016-01-01 00:00:00,,0
248,2016-01-01 00:00:00,37.27,0
253,2016-01-01 00:00:00,76.33,0
254,2016-01-01 00:00:00,115.44,0
263,2016-01-01 00:00:00,69.66,0
270,2016-01-01 00:00:00,12.27,0
275,2016-01-01 00:00:00,88.1,0
276,2016-01-01 00:00:00,115.74,0
278,2016-01-01 00:00:00,114.03,0
290,2016-01-01 00:00:00,25.92,0
293,2016-01-01 00:00:00,624.62,0
312,2016-01-01 00:00:00,9.88,0
318,2016-01-01 00:00:00,168.29,0
335,2016-01-01 00:00:00,386.11,0
345,2016-01-01 00:00:00,1.84,0
356,2016-01-01 00:00:00,1.16,0
423,2016-01-01 00:00:00,1.96,0
439,2016-01-01 00:00:00,55.93,0
492,2016-01-01 00:00:00,112.92,0
534,2016-01-01 00:00:00,1.36,0
560,2016-01-01 00:00:00,335.69,0
623,2016-01-01 00:00:00,15.25,0
653,2016-01-01 00:00:00,563.787,0
657,2016-01-01 00:00:00,10.6,0
658,2016-01-01 00:00:00,2.4,0
666,2016-01-01 00:00:00,1.4,0
667,2016-01-01 00:00:00,,0
673,2016-01-01 00:00:00,5.38,0
675,2016-01-01 00:00:00,31.9,0
677,2016-01-01 00:00:00,1.1,0
680,2016-01-01 00:00:00,,0
683,2016-01-01 00:00:00,0.7,0
685,2016-01-01 00:00:00,127.1,0
687,2016-01-01 00:00:00,5.8,0
693,2016-01-01 00:00:00,,0
697,2016-01-01 00:00:00,2.265,0
698,2016-01-01 00:00:00,1.3,0
701,2016-01-01 00:00:00,,0
708,2016-01-01 00:00:00,10.1,0
710,2016-01-01 00:00:00,0.6,0
721,2016-01-01 00:00:00,18.2,0
722,2016-01-01 00:00:00,1.3,0
729,2016-01-01 00:00:00,2.6,0
730,2016-01-01 00:00:00,10.2,0
732,2016-01-01 00:00:00,14.6,0
739,2016-01-01 00:00:00,11.3,0
742,2016-01-01 00:00:00,3.7,0
801,2016-01-01 00:00:00,3987.86,0
827,2016-01-01 00:00:00,31.667,0
844,2016-01-01 00:00:00,14.8,0
848,2016-01-01 00:00:00,1.083,0
879,2016-01-01 00:00:00,,0
880,2016-01-01 00:00:00,,0
881,2016-01-01 00:00:00,,0
882,2016-01-01 00:00:00,,0
884,2016-01-01 00:00:00,,0
886,2016-01-01 00:00:00,,0
887,2016-01-01 00:00:00,,0
889,2016-01-01 00:00:00,,0
890,2016-01-01 00:00:00,,0
892,2016-01-01 00:00:00,,0
893,2016-01-01 00:00:00,,0
894,2016-01-01 00:00:00,,0
895,2016-01-01 00:00:00,,0
